epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1193.14,1.4928,1.21146,1.4297,0.62387,0.67247,0.6518,0.35773,1.54172,1.179,1.48091,0.0677003,0.00099896,0.00099896
2,2321.63,1.49865,1.22827,1.4271,0.62939,0.71119,0.67515,0.38625,1.48986,1.08662,1.43617,0.0353239,0.00195591,0.00195591
3,3437.15,1.49935,1.23387,1.43422,0.64113,0.69805,0.68158,0.38587,1.52889,1.12245,1.46427,0.0027816,0.00274695,0.00274695
4,4548.63,1.4869,1.21603,1.4207,0.66351,0.70731,0.69354,0.39839,1.52478,1.04799,1.45827,0.00245588,0.00245588,0.00245588
5,5668.66,1.47575,1.19824,1.41479,0.6661,0.72568,0.70727,0.40818,1.51478,1.0373,1.44304,0.0020879,0.0020879,0.0020879
6,6712.35,1.4026,0.9785,1.40918,0.67565,0.74743,0.72306,0.41776,1.47494,0.95988,1.41849,0.00168,0.00168,0.00168
7,7753.63,1.37278,0.92927,1.39196,0.70339,0.75591,0.74617,0.43743,1.45303,0.90597,1.39975,0.0012721,0.0012721,0.0012721
8,8790.85,1.34413,0.88615,1.36873,0.68036,0.78734,0.74721,0.44155,1.44034,0.89576,1.39278,0.000904123,0.000904123,0.000904123
9,9830.5,1.32319,0.85026,1.35036,0.70558,0.79291,0.7566,0.45553,1.41133,0.85786,1.37248,0.000612098,0.000612098,0.000612098
10,10866.9,1.30383,0.83129,1.33837,0.70201,0.79678,0.76218,0.46568,1.38821,0.84949,1.35763,0.000424605,0.000424605,0.000424605
